Scenario,Action,RunID,GasUsed,FinalityLatencyMs,HardwareSyncLatencyMs
KT-02,Mint,1,167661,_,_
KT-02,VerifyForListing,1,98019,_,_
KT-02,Mint,2,133461,_,_
KT-02,VerifyForListing,2,98031,_,_
KT-02,Mint,3,133461,_,_
KT-02,VerifyForListing,3,98031,_,_
KT-02,Mint,4,133461,_,_
KT-02,VerifyForListing,4,98031,_,_
KT-02,Mint,5,133461,_,_
KT-02,VerifyForListing,5,98031,_,_
KT-02,Mint,6,133461,_,_
KT-02,VerifyForListing,6,98031,_,_
KT-02,Mint,7,133461,_,_
KT-02,VerifyForListing,7,98031,_,_
KT-02,Mint,8,133461,_,_
KT-02,VerifyForListing,8,98031,_,_
KT-02,Mint,9,133461,_,_
KT-02,VerifyForListing,9,98031,_,_
KT-02,Mint,10,133461,_,_
KT-02,VerifyForListing,10,98031,_,_
KT-02,Mint,11,133461,_,_
KT-02,VerifyForListing,11,98031,_,_
KT-02,Mint,12,133461,_,_
KT-02,VerifyForListing,12,98031,_,_
KT-02,Mint,13,133461,_,_
KT-02,VerifyForListing,13,98031,_,_
KT-02,Mint,14,133461,_,_
KT-02,VerifyForListing,14,98031,_,_
KT-02,Mint,15,133461,_,_
KT-02,VerifyForListing,15,98031,_,_
KT-02,Mint,16,133461,_,_
KT-02,VerifyForListing,16,98031,_,_
KT-02,Mint,17,133461,_,_
KT-02,VerifyForListing,17,98031,_,_
KT-02,Mint,18,133461,_,_
KT-02,VerifyForListing,18,98031,_,_
KT-02,Mint,19,133461,_,_
KT-02,VerifyForListing,19,98031,_,_
KT-02,Mint,20,133461,_,_
KT-02,VerifyForListing,20,98031,_,_
KT-02,CreateRental,1,204942,2,_
KT-02,RequestReturn,1,54502,1,_
KT-02,ConfirmReturn,1,84223,_,_
KT-02,CreateRental,2,244754,2,_
KT-02,RequestReturn,2,54514,1,_
KT-02,ConfirmReturn,2,82235,_,_
KT-02,CreateRental,3,244766,2,_
KT-02,RequestReturn,3,54514,2,_
KT-02,ConfirmReturn,3,82235,_,_
KT-02,CreateRental,4,244754,2,_
KT-02,RequestReturn,4,54514,1,_
KT-02,ConfirmReturn,4,82235,_,_
KT-02,CreateRental,5,244766,2,_
KT-02,RequestReturn,5,54502,2,_
KT-02,ConfirmReturn,5,82235,_,_
KT-02,CreateRental,6,244754,3,_
KT-02,RequestReturn,6,54514,1,_
KT-02,ConfirmReturn,6,82235,_,_
KT-02,CreateRental,7,244766,2,_
KT-02,RequestReturn,7,54514,4,_
KT-02,ConfirmReturn,7,82235,_,_
KT-02,CreateRental,8,244754,2,_
KT-02,RequestReturn,8,54502,1,_
KT-02,ConfirmReturn,8,82235,_,_
KT-02,CreateRental,9,244766,2,_
KT-02,RequestReturn,9,54514,2,_
KT-02,ConfirmReturn,9,82235,_,_
KT-02,CreateRental,10,244766,2,_
KT-02,RequestReturn,10,54514,1,_
KT-02,ConfirmReturn,10,82235,_,_
KT-02,CreateRental,11,244778,2,_
KT-02,RequestReturn,11,54514,2,_
KT-02,ConfirmReturn,11,82235,_,_
KT-02,CreateRental,12,244766,2,_
KT-02,RequestReturn,12,54514,2,_
KT-02,ConfirmReturn,12,82235,_,_
KT-02,CreateRental,13,244778,3,_
KT-02,RequestReturn,13,54514,1,_
KT-02,ConfirmReturn,13,82235,_,_
KT-02,CreateRental,14,244766,2,_
KT-02,RequestReturn,14,54502,2,_
KT-02,ConfirmReturn,14,82235,_,_
KT-02,CreateRental,15,244778,2,_
KT-02,RequestReturn,15,54514,2,_
KT-02,ConfirmReturn,15,82235,_,_
KT-02,CreateRental,16,244766,2,_
KT-02,RequestReturn,16,54514,1,_
KT-02,ConfirmReturn,16,82235,_,_
KT-02,CreateRental,17,244778,3,_
KT-02,RequestReturn,17,54514,1,_
KT-02,ConfirmReturn,17,82235,_,_
KT-02,CreateRental,18,244754,2,_
KT-02,RequestReturn,18,54514,1,_
KT-02,ConfirmReturn,18,82235,_,_
KT-02,CreateRental,19,244778,2,_
KT-02,RequestReturn,19,54514,1,_
KT-02,ConfirmReturn,19,82235,_,_
KT-02,CreateRental,20,244766,2,_
KT-02,RequestReturn,20,54514,1,_
KT-02,ConfirmReturn,20,82235,_,_
